id|job_title|location|salary_currency|career_level|experience_level|education_level|employment_type|job_function|job_benefits|company_process_time|company_size|company_industry|job_description
32160|Junior Accountant|Jakarta Barat|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)|Kontrak|Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan|||||Kualifikasi:Pendidikan minimal S1 jurusan AkuntansiMemiliki pengalaman minimal 2 tahun dalam membuat laporan keuanganMemiliki sertifikat Brevet A & B (menjadi nilai tambah)Menguasasi Microsoft Office & Aplikasi SAPBerorientasi pada target, motivasi tinggi, dan mampu bekerja dibawah tekananMampu bekerja secara individu maupun bekerja aktif dalam timPenempatan: DKI Jakarta (Jakarta Barat)
32161|Warehouse Staff Stock Point (Sukabumi, Purwakarta, Purwokerto, Solo, Kediri dan Jember)|Jawa Barat|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Kontrak|Manufaktur,Pembelian/Manajemen Material|Tip;Asuransi kesehatan;Parkir;Penglihatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)|28 days|1001 - 2000 pekerja|Produk Konsumen/Barang konsumen yang bergerak cepat|Deskripsi Pekerjaan:Melakukan Loading UnbondingMelakukan Cek Saldo Fisik Goods dan Stock di SistemMelakukan Stock Opname HarianKualifikasi:Berpengalaman minimal 2 tahun dibidang Warehouse dan OperationalMinimal Umur 21 TahunMinimal lulusan D3 / S1 Semua JurusanMemiliki kepribadian yang jujur, tanggung jawab, Kerja Keras dan komunikatifMampu bekerja dalam tekanan, rapi dan telitiMampu bekerja sama dengan teamMampu mengoperasikan OfficePenempatan Sukabumi, Purwakarta, Purwokerto, Solo, Kediri dan Jember.Bagi yang memenuhi kualifikasi dapat segera mengirim lamaran/apply.Dibutuhkan SEGERA
32162|Hospital Executive Director|Makassar|IDR|CEO/GM/Direktur/Manajer Senior|5 tahun|Tidak terspesifikasi|Penuh Waktu|Akuntansi / Keuangan,Perbankan / Jasa Finansial |Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)|1 day|1- 50 pekerja|Transportasi/Logistik|Supervisory Responsibilities:Responsible for overall administrative management and operation of the hospital.Duties/Responsibilities:Participates with the board in charting the course the hospital is to take in response to developing needs of the commonalty. Evaluates the effect of external forces on the institution, recommends long-range plans that support the institution's philosophy and general objectives. Recommends hospital policy positions concerning legislation, government administrative policies, and other policy matters.Ensures attainment of hospital objectives through the selection, development, motivation, and evaluation of hospital staff. Specifies staff accountabilities and evaluates performance. Leads in educational programs, participates as teacher and preceptor. Pursues formal and informal education in health care management. Negotiates professional contracts and sees that appropriate salary structures are developed and maintained.Monitors the adequacy of the hospital's medical activities through coordination with the board, the medical and nursing staffs, and enacts policies to assure excellent health care services.Assures the sound fiscal operation of the hospital including timely, accurate, and comprehensive development of an annual budget and its implementation. Plans for the purchasing of capital equipment and obtains approval for capital purchases above specified threshold. Plans for the use of physical resources of the hospital and insures against physical damages.Ensures compliance with the regulations of governing hospitals and the rules of accrediting bodies by continually monitoring the organization's service delivery and initiating changes as required. Participates in litigation for the hospital and informs the board of the need to initiate litigation. Approves final settlements of any lawsuits against the hospital.Works with legislators, regulatory agencies, and representatives of the industry to assure that legislative and regulatory policies promote the health of the community and do not place unmanageable encumbrances on the hospital.Required Skills/Abilities:Ability to perform in a high-stress position with full responsibility for hospital operation.Ability to handle detailed, complex concepts and problems and to make rapid decisions regarding administrative issues.Ability to plan and implement programs on hospital-wide basis.Ability to establish strong and appropriate supervisor relationships.Ability to develop smooth and constructive relationships with executive colleagues, and outside agencies, organizations, and individuals.Ability to maintain a flexible work schedule to meet various demands of executive management in the hospital.Ability to convey a professional and positive image and attitude regarding the hospital.Education and Experience:Bachelors degree in relevant field required, Master's degree in hospital administration, health, business, or public health preferred.At least five years of experience in a hospital administration position with responsibility for administrative supervision and board of trustees contac
32163|FINANCE & ACCOUNTING MANAGER|Bogor|IDR|Manajer/Asisten Manajer|5 tahun|Sarjana (S1)|Kontrak|Akuntansi / Keuangan,Keuangan / Investasi Perusahaan |Tip;Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;bonus, etc;uniform|28 days|51 - 200 pekerja|Manufaktur/Produksi|Main responsibilities:ACCOUNTING :Make SOP and format supporters and documents in Accounting Department.Create and update the Chart of Accounts.Create and check the accounting system through the tax and accounting rules that exist.Ensure that all staff understand the accounting and tax rules and procedures.Responsible for financial reports and monthly and annual tax to shareholders.Check the monthly journal on accurate system.Check out all the accounting staff reports and reconcile.Set assets.Prepare supporting documents for outside auditors.Check and reconcile all taxes per semester.Reviewing and evaluating the cost reductions may occur.Analyze and make a financial report.FINANCE:Make SOP and format2 supporters and documents in Finance Department.Coordinate with the Finance dept regardings transactions related to accounting and taxation.Examine weekly and monthly payment schedule.Set up cash flow.Set the age of accounts payable.Examine, approve and sign the payment operations.Create and develop rules for payment in petty cash and bank.In cooperation with the bank for underwriting based on the company's financial statements.Giving consent to the delivery of goods production based on customer receivables.Selecting and proposing to the top management about the investment.TAX :Check and sign their annual tax return prepared by the tax staff.Make a reconciliation of monthly tax.Make the overall tax reconciliation both quarterly and yearly.Prepare and reconciliation PPh21.The fulfillment of tax obligations.Candidate Character Specification :Candidate must possess at least a Bachelor's Degree, Finance/Accountancy/Banking or equivalent.Required skill(s): microsoft excel, accurate program, Tax Advisory.Required language(s): English, Bahasa IndonesiaAt least 5 year(s) of working experience in the related field is required for this position.Preferably Manager / Assistant Managers specializing in Finance - General/Cost Accounting or equivalent.Full-Time position(s) available.
32164|Boga App CRM Manager|Jakarta Raya|IDR|Manajer/Asisten Manajer|3 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Digital Marketing|Tip;Asuransi kesehatan;Pinjaman;Outlet Uniform|29 days|2001 - 5000 pekerja|Makanan & Minuman/Katering/Restoran|Plan all marketing & brands strategy, programs and communication to build the brand's awaraness & customers loyalty that drive brand's performance with main focus on digital.Actively reseraching for market, trend, competition & customer insights to drive winning brand's strategyOptimize Partnerships with key partners (online platforms, banks and other potential partners) to drive awareness, transactions and sales.Review all campaigns to measure ROIRequirementsMinimum Diploma 3 or Bachelor DegreeMinimum has three years of working experience in relaStrong analytical & ROI DrivenGood InterpersonalHigh Achievement MindsetCommunicative, Proactive, Team Player, AgilePreferably Highly passionate for F&B industry
32165|Staff Rekrutmen|Bandung|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sarjana (S1)|Penuh Waktu|Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR|Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)|25 days|51 - 200 pekerja|Umum & Grosir|Tugas & Tanggung Jawab :Menarik perhatian para pencari kerja untuk melamar di perusahaannya.Bertanggung jawab untuk membangun citra bahwa menjadi karyawan di perusahaan tersebut adalah pilihan yang tepat.Membangun employer brand yang kuat, membuat recruitment marketing campaign, dan sebagainya.memasang iklan recruitment yang menarik, menyebar email, hingga mencari kandidat dari job site.memiliki kemampuan untuk menemukan kandidat terbaik bagi perusahaan berdasarkan berbagai parameter yang telah ditentukan.Mengenalkan perusahaan pada karyawan baruBertanggung jawab untuk memastikan bahwa karyawan baru tersebut bisa beradaptasi dengan baik.Syarat :Pendidikan minimal S1 dengan IPK 3.00 jurusan psikologi / jurusan lain namun wajib berpengalamanMinimal memiliki pengalaman selama 1 tahun di bidang yang sama Sudah melakukan vaksinasi Covid 19/ Bersedia melakukan vaksinasi (jika belum vaksin)Dapat bekerja dengan cepat & terorganisirBersedia ditempatkan di BandungBersedia untuk melakukan kunjungan ke lokasi potensial untuk mencari kandidat yang sesuai dengan kebutuhan perusahaan.
32166|Sales Executive|Klaten|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Penjualan Ritel|Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)|16 days|201 - 500 pekerja|Perbankan/Pelayanan Keuangan|Tentang majoomajoo Teknologi Indonesia adalah salah satu perusahaan yang bergerak di bidang aplikasi wirausaha lengkap mulai dari pengelolaan penjualan,pelanggan, pembayaran, inventori, keuangan, karyawan sampai dengan pembiayaan usaha. Saat ini majoo sedang mencari Sales Executive untuk ditempatkan di Sragen dengan kualifikasi dan deskripsi pekerjaan sebagai berikut.Deskripsi PekerjaanMengumpulkan daftar merchant potensialMeningkatkan penjualan secara efektif (direct selling/ meeting)Melakukan demonstrasi produk berdasarkan kebutuhan merchant (edukasi dan instalasi aplikasi Majoo)Berkoordinasi dengan atasan dan divisi terkait (terkait pembayaran)Penempatan SragenKualifikasiPendidikan minimal SMA atau sederajatMemiliki pengalaman kerja di bidang sales minimal 1 tahunUsia maksimal 35 tahunMemiliki kendaraan pribadi dan SIM-C (minimal)Aktif dalam komunitas atau organisasi akan menjadi nilai tambahKomunikatif, bisa bekerjasama dalam tim, dan menyukai bekerja di lapanganMempunyai smartphone android dan aktif dalam bersosial mediaKompensasi dan BenefitBPJS Kesehatan dan KetenagakerjaanInsentifJam kerja yang fleksibelFasilitasTools Kit (Tablet, brosur, bluetooth printer, dan lanyard)
32167|HR Staff|Jakarta Raya|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Sarjana (S1)|Penuh Waktu|Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR|Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);BPJS, Bonus, Annual Reward|22 days|51 - 200 pekerja|Konstruksi/Bangunan/Teknik|Responsibility:Handling end to end recruitment processAttendance EmployeeDatabase EmployeeConduct training (internal & external)HR administration & letterRequirements:Minimum 2 years in Human Resource experienceBachelor's Degree in any field (Psychology Degree or Human Resource Management is an advantage) -Knowledge in recruitment processAble to operate Microsoft OfficeGood administration & communication skillCan speak English actively, passive is NOT acceptedPlacement in Head Office TangerangAvailable to join as soon as possibleBenefit:SalaryBonusBPJS Labour & Health
32168|Business Analyst|Bandung|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sarjana (S1)|Penuh Waktu|Komputer/Teknologi Informasi,IT-Perangkat Lunak|Asuransi Gigi;Tip;Asuransi kesehatan;Penglihatan;Waktu regular, Senin - Jumat;Casual Formal (e.g. Shirts, Jeans, Polo Shirt)|13 days|51 - 200 pekerja|Komputer/Teknik Informatika (Perangkat Lunak)|Role and ResponsibilitiesDeliver a high quality software requirementConduct requirements gatheringProduce specifications for new or modified systemsTranslate stakeholders/user requirements into something that system designers can understand as well as to translate the resulting questions that the system designers have into something the stakeholders can understand Work with project stakeholders to identify, model and then document their requirements and business domain detailsValidate stakeholders/user requirements and analysis models via techniques such as reviews, walkthroughs and play actingInteract with designers to understand software limitations.Help system designers during system development, e.g. provide use casesQualifications and Education RequirementsBachelor degree of Computer Science/Informatics or related majorAt least 1 years of experience in related fields (software requirements, analysis, etc.)Knowledge in software requirement elicitation.UX and UI Design experience is a plusFamiliar with AdobeXD is a plusAble to work in a team.Working knowledge of software technology.General business knowledge.Excellence verbal and written communication skill, with good Interpersonal relationKeuntunganWork From Home (hybrid working enable)Work with various multinational company/ministryComfort environment to boost self development
32169|Customer Relations Officer (BALI)|Denpasar|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Penjualan - Jasa Keuangan|Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)|29 days|1- 50 pekerja|Asuransi|Candidate must possess at least Diploma in any field.Fresh Graduate are welcomeFluent in English and Bahasa.Able to work in BaliAt least 1 Year(s) of working experience in the related field is required for this position.Able to meet with many customers and have a good self confidence.Good Communication skillExperience in insurance will be preferableAble to operate Microsoft Office (Word, Excel, Powerpoint)Enthusiastic and well motivated
32170|Sales Engineer|Cikarang|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Tidak terspesifikasi|Penuh Waktu|Penjualan / Pemasaran,Penjualan - Teknik/Teknikal/IT|Tunjangan Pendidikan;Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)|25 days|51 - 200 pekerja|Manufaktur/Produksi|PT Citra Langgeng SentosaIs subsidiaries of Infinitigroup, company engaged in increasing the application of technology in the Manufacturing industry in Indonesia.Currently we are looking for someone can fill the position ofSales Engineer with :Responsibilities· Searching for new clients who might benefit from company products or services and maximizing client potential in designated regions;· Analyze and provide appropriate solutions to customer needs· Presenting the company products and services to clients· Developing long-term relationships with clients through managing and interpreting their requirements;· Having the ability / experience in the field of Material Handling EquipmentRequirements · Minimum Bachelor's Degree in all major, max. 30 years old· Having 1 (one) year experience as Sales in Manufacture· Must be proactive and innovative, able to work under pressure and meet tight deadlines,· Have excellent analytical, negotiation, as well as communication skills· Having experience in Sales Area is an advantage· Have driving license (SIM A)· Know well industry in Cibitung, Jakarta, Bogor· Willing to be placed in CIKARANG
32171|Store Manager|Jakarta Raya|IDR|Manajer/Asisten Manajer|5 tahun|Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Penjualan Ritel|Asuransi kesehatan;Formil (contoh: Kemeja + Dasi);Senin – Sabtu||501 - 1000 pekerja|Retail/Merchandise|Minimum tamatan S1, IP minimum 3.0.Usia antara 35 s/d 45 tahun.Bersedia ditempatkan dikawasan Jabodetabek.Mempunyai pengalaman di bidang retail minimum 10 tahun.Mempunyai pengalaman dalam menangani barang-barang supermarket dan department store.Memiliki pengalaman di posisi Store Manager minimal 5 TahunBerjiwa pemimpin, kreatif, dan agresif.Mempunyai kemampuan untuk berkomunikasi dan kemampuan untuk membangun hubungan baik dengan customer, supplier, dan karyawan TIP TOP.Mengerti computer, minimum Microsoft Office dan Windows.Dapat berbahasa Inggris secara lisan dan tulisan.
32172|Store Manager (JABODETABEK AREA)|Jakarta Raya|IDR|Manajer/Asisten Manajer|2 tahun|SMA, SMU/SMK/STM|Kontrak|Penjualan / Pemasaran,Penjualan Ritel|Bisnis (contoh: Kemeja)|18 days|1001 - 2000 pekerja|Makanan & Minuman/Katering/Restoran|KANDIDAT YANG MEMENUHI KRITERIA AKAN DIHUBUNGIN MELALUI WHATSAPP, PASTIKAN ANDA MENCANTUMKAN NOMOR WHATSAPP ANDA KETIKA MELAMAR.Tugas dan Tanggung Jawab:- Meyakini serah terima kasir dan persediaan antar shift telah sesuai.- Melakukan pemeriksaan akhir hari atas penjualan yang terjadi pada hari berjalan.- Memastikan produksi yang dilakukan oleh Staf Kitchen sudah sesuai dengan kebutuhan outlet.- Memantau ketersediaan makanan jadi.- Melaporkan penggunaan bahan baku/WIP, waste, dan sisa persediaan pada hari berjalan kepada Cost Controller.- Menindaklanjuti setiap PO/PR yang masuk melalui aplikasi ESB- Memastikan bahwa seluruh PO/PR telah ditindaklanjuti dan disertai dengan dokumentasi yang memadai.- Memastikan kesesuaian antara PO/PR dan surat jalan/GD dengan barang yang diterima dari WH/CK/supplier/outlet lain.- Menentukan jumlah barang yang dapat diterima jika terdapat kelebihan barang yang dikirim.- Mengubah jumlah barang yang diterima pada hasil cetakan PO/PR/GD (dari aplikasi ESB)/surat jalan jika jumlah barang yang diterima tidak sesuai dengan PO/PR/GD/surat jalan.- Meng-input penerimaan barang pada aplikasi ESB berdasarkan jumlah barang yang diterima.- Menindaklanjuti permintaan barang dari outlet lain.- Meng-input GD pada aplikasi ESB.- Memastikan barang yang dikirim telah diterima oleh outlet yang meminta.- Memastikan kesesuaian suhu tempat penyimpanan bahan baku dan makanan setengah jadi (WIP).- Melakukan pemeriksaan atas jumlah persediaan barang masuk, yang digunakan, dan persediaan yang tersisa pada akhir hari.- Menganalisa kebutuhan persediaan barang, serta memantau ketersediaannya.- Melaporkan hasil pemeriksaan akhir hari kepada Cost Controller, yang meliputi penerimaan, pengiriman, dan sisa persediaan (setelah dikurangi pemakaian).- Mengelola petty cash dan melaporkan penggunaannya kepada Unit Finance.- Menyetujui pembelian barang (simple purchase) yang akan dilakukan outlet.- Meng-input simple purchase pada aplikasi ESB.· Melakukan koordinasi dengan Area Manager terkait permasalahan yang terjadi di outlet.Persyaratan:Minimal 1-2 tahun pengalaman kerja sebagai Store Manager / Asst. Manager Toko yang berspesialisasi dalam F & B / Layanan Restoran atau yang setara (atau, telah memahami dengan baik setidaknya 8 / delapan persyaratan di atas).Kemampuan kepemimpinan yang baik, keterampilan manajemen orang, mentoring & coachingKeterampilan manajemen pelanggan yang sangat baikKeterampilan organisasi yang kuatKeterampilan komunikasi dan interpersonal yang baikDiploma atau Sarjana Administrasi Bisnis/Food and Beverage Management/Tata Boga/Perhotelan atau bidang yang relevanMampu mengoperasikan dan memahami MS Office terutama ExcelMemahami skema inventory dengan baikPemahaman mendalam tentang laporan profit and loss (P&L) di dalam toko, Food hygiene, Health & SafetyMemahami setiap komponen KPI dan cara mencapainyaMemahami proses pemecahan masalah yang berkaitan dengan masalah operasionalDapat berbicara dengan intonasi dan kepercayaan diri yang baikProfesional dan fleksibel sesuai kebutuhan operasional terkait penempatanBERSEDIA DITEMPATKAN DI JABODETABEK.
32173|Digital Marketing|Jakarta Raya|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Digital Marketing|Asuransi kesehatan;Pinjaman;Bisnis (contoh: Kemeja)|12 days|501 - 1000 pekerja|Umum & Grosir|Pendidikan minimal S1 Semua JurusanMemiliki 1 tahun pengalaman kerja dalam bidang promosi produk khususnya dalam lingkup E-Commerce ataupun Online Shop, yang dapat dibuktikan dengan surat pengalaman kerjaMemiliki kemampuan dasar dalam bidang desain (minimal mampu mengoperasikan Corel Draw) yang dapat dibuktikan dengan lampiran hasil karya desainKreatif, inovatif dan mampu bekerja independentMemiliki kemampuan komunikasi yang baikTegas, Teliti, Jujur dan DisiplinCepat tanggap dan cepat belajar terhadap sesuatu yang baruMemiliki loyalitas yang tinggi dan siap bekerja di bawah tekananSiap bekerja dengan deadline yang padatBersedia melakukanrapid test ketika dinyatakan lulus seleksiWajib memiliki sertifikat vaksin minimal dosis pertamaPenempatan Jakarta/Bandung
32174|Corporate Sales Executive|Bekasi|IDR|Supervisor/Koordinator|5 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Penjualan - Korporasi|Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)|13 days|1- 50 pekerja|Lainnya|TANGGUNG JAWAB PEKERJAANBertanggung jawab untuk menjual produk-produk Mesin Cleaning KARCHER, Lap Industri SWIPE-ALL & produk safety 3M ke segmen industri manufaktur, pertambangan, Oil & gas, rumah sakit, food service, gedung perkantoran, institusi dan customer B2B lainnyaKUALIFIKASI KANDIDATUsia maksimal 35 tahun & pendidikan minimal D3   Harus memiliki pengalaman minimal 5 tahun sebagai Sales/Marketing yang menjual produk atau jasa ke customer corporate atau customer B2BMampu melakukan prospek membuka pelanggan baruAgresif & komunikatifPenempatan di kantor pusat Bekasi Memiliki SIM A atau CDiluar gaji pokok, perusahaan memberikan uang makan, tunjangan transport, tunjangan komunikasi, tunjangan rawat jalan, asuransi rawat inap, BPJS & komisi penjualan Kandidat yang dinilai berhasil akan menjadi karyawan tetap setelah 6 bulanApabila anda memiliki kualifikasi & pengalaman tersebut silahkan segera apply dengan melampirkan CV terbaru yang sudah di update.
32175|Finance Accounting Supervisor|Jakarta Selatan|IDR|Manajer/Asisten Manajer|3 tahun|Sarjana (S1)|Penuh Waktu|Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan||4 days||Retail/Merchandise|We are looking for an Finance and Accounting Supervisor to supervise, track and evaluate day-to-day activities. The responsibilities include establishing financial status by developing and implementing systems for collecting, analysing, verifying and reporting information.Responsibilities:Manage and oversee the daily operations of the accounting department including:accounts payable/receivablecash receiptsgeneral ledgerpayroll and utilitiestreasury, budgetingcash forecastingrevenue and expenditure variance analysiscapital assets reconciliationscheck runsfixed asset activitydebt activityMonitor and analyze accounting data and produce financial reports or statementsEstablish and enforce proper accounting methods, policies and principlesCoordinate and complete annual auditsProvide recommendationsImprove systems and procedures and initiate corrective actionsMeet financial accounting objectivesEstablish and maintain fiscal files and records to document transactions
32176|Sales Motoris|Jakarta Raya|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|SMA, SMU/SMK/STM|Penuh Waktu|Penjualan / Pemasaran,Penjualan Ritel|Tip;Asuransi kesehatan;Parkir;Kasual (contoh: Kaos)|21 days|1- 50 pekerja|Makanan & Minuman/Katering/Restoran|Kualifikasi:Pendidikan minimal SMAMemiliki pengalaman minimal 2 tahun sebagai sales motoris / canvassing / merchandiserCekatan, disiplin, komunikatif, dan semangat tinggiMemiliki Motor dan SIM CMengetahui wilayah Jakarta, Tangerang dan sekitarnyaTanggung JawabMelakukan Proses Spreading/Canvassing di area penjualanMencari outlet baru dan repeat orderMencapai omset dan kunjungan harianBenefitBPJS Kesehatan dan KetenagakerjaanInsentif sesuai kinerja
32177|Partner Relation Associate|Yogyakarta|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Pelayanan,Layanan Pelanggan|Waktu regular, Senin - Jumat;Travel Allowance, Incentive;Smart Casual|4 days|1- 50 pekerja|Hotel/Pariwisata|The Partner Relationship Associates will work as the extension of the Partner Experience team. They will be responsible for doing the groundwork to maintain ZUZU relationships with the clients by personally meeting the clients, immediately fixing the issues at the property and prevent client churnTravel throughout the assigned territory and visit partners as needed to:Build strong relationships with existing ZUZU partnersKeep close tabs on management and/or personnel changes for existing partnersMeet new management or POC, if relevantKeep an updated client contact database at all timesConduct in-person product trainingFollow-up on unpaid invoicesCollect on-demand information and documentsEnsure high meeting success rates by creating a cost effective, well-planned meeting itinerariesFixed salary and performance bonusesAbout YouMinimum of 2 years work experience in account management  or customer success rolesTrustworthy and autonomousExcellent client leadershipTime management and navigation skillsGood English communication Skills Learn and ensure to have an updated knowledge about ZUZU processesBasic understanding of hotel technology and industryNice to have: Online Travel Agency (OTA) experienceMust have a license to drive and owns a motorbike (ZUZU will cover gas expenses)Must be based in Jakarta/ Yogyakarta
32178|Assistant Manager (mandarin speaking) Malang Kabupaten|Surabaya|IDR|Manajer/Asisten Manajer|1 tahun|Sarjana (S1)|Kontrak|Lainnya,Lainnya/Kategori tidak tersedia|Tip;Kasual (contoh: Kaos);Senin-Jumat (09.00-17.30 WIB), Sabtu (09.00-12.00 WIB)|9 days|501 - 1000 pekerja|Umum & Grosir|Kandidat harus memiliki setidaknya Gelar Sarjana di bidang apapun.Wajib Menguasai Bahasa Mandarin dengan baik (secara lisan maupun tulisan)Setidaknya memiliki 1 tahun pengalaman dalam bidang yang sesuai untuk posisi ini.Kemampuan yang harus dimiliki: leadership, communication, negotiation, interpersonalPenempatan Malang Kabupaten (Pasuruan, Pandaan, Batu dan Lumajang)
32179|SALES OFFICER BANK|Pontianak|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|SMA, SMU/SMK/STM|Penuh Waktu|Akuntansi / Keuangan,Perbankan / Jasa Finansial ||||Manajemen/Konsulting HR|Persyaratan:Pendidikan minimal SMA/SMK/SederajatMampu berkomunikasi dengan baik dan bekerja dalam timMemiliki pengalaman kerja selama 1 tahun sebagai sales/marketing dibidang kredit pensiun diutamakanFresh graduate dipersilahkan melamarMemiliki kendaraan pribadiBerorientasi dan bekerja sesuai targetBerkarakter jujur, ulet dan pekerja kerasKondisi Kerja: Full TimeKewajiban:Menjelaskan dan menawarkan produk kredit pensiun ke calon debiturMemberikan simulasi perhitungan ke calon debiturMelakukan komunikasi dan menjaga hubungan dengan mitra Bank dan debiturMembuat dan melaporkan kegiatan harian (kanvasing)Note : Gaji berdasarkan standar UMP setempat.
32180|Programmer|Tangerang|IDR|Supervisor/Koordinator|2 tahun|Tidak terspesifikasi|Kontrak|Komputer/Teknologi Informasi,IT-Perangkat Lunak||||Minyak/Gas/Petroleum|Job Desc:Develop and maintenance ApplicationMengembangkan aplikasi (Coding) berbasis web sesuai dengan kebutuhan.MMemastikan aplikasi berjalan dengan baik.Merespon masukan & keluhan dengan cepat dan baikSkill :JavaScript - SQL- MongoDB nilai tambah- NodeJS (Nodered nilai tambah)- Familiar dengan API
32181|Department Manager|Jakarta Raya|IDR|Supervisor/Koordinator|2 tahun|SMA, SMU/SMK/STM|Penuh Waktu|Penjualan / Pemasaran,Penjualan Ritel|Waktu regular, Senin - Jumat;Kasual (contoh: Kaos);BPJS|14 days|51 - 200 pekerja|Retail/Merchandise|Qualification:Willing to be relocated to other storesMaximum 30 years oldMinimum SMK/SMA/SMU or equivalentHave minimum 2 years experience as a Section Manager/Supervisor/Team Leader in retail companySkills : Word, Excel, Powerpoint, Communication, Customer Service, Strong LeadershipWilling to be relocated to other storesJob Description:Executing department activities and operations in store with respect to organizational SOP’s and standards and achieving sales target within set timeframesIn charge for all staffs under supervisionReporting to Store Manager Note:Interview invitation by HR team via email.KKV Indonesia recruitment process is free of charge in any form
32182|Kepala Cabang|Kalimantan Barat|IDR|Manajer/Asisten Manajer|3 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Penjualan Ritel|||||Preferably Manager / Assistant Managers specializing in Sales or equivalent.Have experience in lubricant is an advantagesHave strong leadership and management skillAt least 3 years of working experience in the related field is required for this position.Candidate must possess at least a Diploma, Bachelor's Degree, any field.Required skill(s): selling skills, management, manpower handling, Customer Business Development.Required language(s): Bahasa Indonesia & Mandarin is an advantages.Placement at Pontianak, West kalimantan
